Country,Happiness score,GDP,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Continent
Afghanistan,3.203,0.350,0.517,0.361,0.000,0.158,0.025,Asia
Albania,4.719,0.947,0.848,0.874,0.383,0.178,0.027,Europe
Algeria,5.211,1.002,1.160,0.785,0.086,0.073,0.114,Africa
Andorra,,,,,,,,Europe
Angola,,,,,,,,Africa
Antigua and Barbuda,,,,,,,,North America
Argentina,6.086,1.092,1.432,0.881,0.471,0.066,0.050,South America
Armenia,4.559,0.850,1.055,0.815,0.283,0.095,0.064,Asia
Australia,7.228,1.372,1.548,1.036,0.557,0.332,0.290,Oceania
Austria,7.246,1.376,1.475,1.016,0.532,0.244,0.226,Europe
Azerbaijan,5.208,1.043,1.147,0.769,0.351,0.035,0.182,Asia
Bahrain,6.199,1.362,1.368,0.871,0.536,0.255,0.110,Asia
Bangladesh,4.456,0.562,0.928,0.723,0.527,0.166,0.143,Asia
Barbados,,,,,,,,North America
Belarus,5.323,1.067,1.465,0.789,0.235,0.094,0.142,Europe
Belgium,6.923,1.356,1.504,0.986,0.473,0.160,0.210,Europe
Belize,,,,,,,,North America
Benin,4.883,0.393,0.437,0.397,0.349,0.175,0.082,Africa
Bhutan,5.082,0.813,1.321,0.604,0.457,0.370,0.167,Asia
Bolivia,5.779,0.776,1.209,0.706,0.511,0.137,0.064,South America
Bosnia and Herzegovina,5.386,0.945,1.212,0.845,0.212,0.263,0.006,Europe
Botswana,3.488,1.041,1.145,0.538,0.455,0.025,0.100,Africa
Brazil,6.300,1.004,1.439,0.802,0.390,0.099,0.086,South America
Brunei,,,,,,,,Asia
Bulgaria,5.011,1.092,1.513,0.815,0.311,0.081,0.004,Europe
Burkina Faso,4.587,0.331,1.056,0.380,0.255,0.177,0.113,Africa
Burundi,3.775,0.046,0.447,0.380,0.220,0.176,0.180,Africa
Cambodia,4.700,0.574,1.122,0.637,0.609,0.232,0.062,Asia
Cameroon,5.044,0.549,0.910,0.331,0.381,0.187,0.037,Africa
Canada,7.278,1.365,1.505,1.039,0.584,0.285,0.308,North America
Cape Verde,,,,,,,,Africa
Central African Republic,3.083,0.026,0.000,0.105,0.225,0.235,0.035,Africa
Chad,4.350,0.350,0.766,0.192,0.174,0.198,0.078,Africa
Chile,6.444,1.159,1.369,0.920,0.357,0.187,0.056,South America
China,5.191,1.029,1.125,0.893,0.521,0.058,0.100,Asia
Colombia,6.125,0.985,1.410,0.841,0.470,0.099,0.034,South America
Comoros,3.973,0.274,0.757,0.505,0.142,0.275,0.078,Africa
Congo (Brazzaville),4.812,0.673,0.799,0.508,0.372,0.105,0.093,
Congo (Kinshasa),4.418,0.094,1.125,0.357,0.269,0.212,0.053,
Cook Islands,,,,,,,,Oceania
Costa Rica,7.167,1.034,1.441,0.963,0.558,0.144,0.093,North America
Croatia,5.432,1.155,1.266,0.914,0.296,0.119,0.022,Europe
Cuba,,,,,,,,North America
Cyprus,6.046,1.263,1.223,1.042,0.406,0.190,0.041,Europe
Czech Republic,6.852,1.269,1.487,0.920,0.457,0.046,0.036,Europe
Democratic Republic of the Congo,,,,,,,,Africa
Denmark,7.600,1.383,1.573,0.996,0.592,0.252,0.410,Europe
Djibouti,,,,,,,,Africa
Dominica,,,,,,,,North America
Dominican Republic,5.425,1.015,1.401,0.779,0.497,0.113,0.101,North America
Ecuador,6.028,0.912,1.312,0.868,0.498,0.126,0.087,South America
Egypt,4.166,0.913,1.039,0.644,0.241,0.076,0.067,Africa
El Salvador,6.253,0.794,1.242,0.789,0.430,0.093,0.074,North America
Equatorial Guinea,,,,,,,,Africa
Eritrea,,,,,,,,Africa
Estonia,5.893,1.237,1.528,0.874,0.495,0.103,0.161,Europe
Eswatini,4.212,0.811,1.149,0.000,0.313,0.074,0.135,Africa
Ethiopia,4.286,0.336,1.033,0.532,0.344,0.209,0.100,Africa
Federated States of Micronesia,,,,,,,,Oceania
Fiji,,,,,,,,Oceania
Finland,7.769,1.340,1.587,0.986,0.596,0.153,0.393,Europe
France,6.592,1.324,1.472,1.045,0.436,0.111,0.183,Europe
Funchal,,,,,,,,Africa
Gabon,4.799,1.057,1.183,0.571,0.295,0.043,0.055,Africa
Gambia,4.516,0.308,0.939,0.428,0.382,0.269,0.167,
Georgia,4.519,0.886,0.666,0.752,0.346,0.043,0.164,
Georgia (country),,,,,,,,Europe
Germany,6.985,1.373,1.454,0.987,0.495,0.261,0.265,Europe
Ghana,4.996,0.611,0.868,0.486,0.381,0.245,0.040,Africa
Greece,5.287,1.181,1.156,0.999,0.067,0.000,0.034,Europe
Grenada,,,,,,,,North America
Guatemala,6.436,0.800,1.269,0.746,0.535,0.175,0.078,North America
Guinea,4.534,0.380,0.829,0.375,0.332,0.207,0.086,Africa
Guinea-Bissau,,,,,,,,Africa
Guyana,,,,,,,,South America
Haiti,3.597,0.323,0.688,0.449,0.026,0.419,0.110,North America
Honduras,5.860,0.642,1.236,0.828,0.507,0.246,0.078,North America
Hong Kong,5.430,1.438,1.277,1.122,0.440,0.258,0.287,
Hungary,5.758,1.201,1.410,0.828,0.199,0.081,0.020,Europe
Iceland,7.494,1.380,1.624,1.026,0.591,0.354,0.118,Europe
India,4.015,0.755,0.765,0.588,0.498,0.200,0.085,Asia
Indonesia,5.192,0.931,1.203,0.660,0.491,0.498,0.028,Asia
Iran,4.548,1.100,0.842,0.785,0.305,0.270,0.125,Asia
Iraq,4.437,1.043,0.980,0.574,0.241,0.148,0.089,Asia
Ireland,7.021,1.499,1.553,0.999,0.516,0.298,0.310,
Israel,7.139,1.276,1.455,1.029,0.371,0.261,0.082,Asia
Italy,6.223,1.294,1.488,1.039,0.231,0.158,0.030,Europe
Ivory Coast,4.944,0.569,0.808,0.232,0.352,0.154,0.090,Africa
Jamaica,5.890,0.831,1.478,0.831,0.490,0.107,0.028,North America
"Jamestown, Saint Helena",,,,,,,,Africa
Japan,5.886,1.327,1.419,1.088,0.445,0.069,0.140,Asia
Jordan,4.906,0.837,1.225,0.815,0.383,0.110,0.130,Asia
Kazakhstan,5.809,1.173,1.508,0.729,0.410,0.146,0.096,Asia
Kenya,4.509,0.512,0.983,0.581,0.431,0.372,0.053,Africa
Kiribati,,,,,,,,Oceania
Kosovo,6.100,0.882,1.232,0.758,0.489,0.262,0.006,Europe
Kuwait,6.011,1.050,1.409,0.828,0.557,0.359,0.028,Asia
Kyrgyzstan,5.261,0.551,1.438,0.723,0.508,0.300,0.023,Asia
Laos,4.796,0.764,1.030,0.551,0.547,0.266,0.164,Asia
Latvia,5.940,1.187,1.465,0.812,0.264,0.075,0.064,Europe
Lebanon,5.197,0.987,1.224,0.815,0.216,0.166,0.027,Asia
Lesotho,3.802,0.489,1.169,0.168,0.359,0.107,0.093,Africa
Liberia,3.975,0.073,0.922,0.443,0.370,0.233,0.033,Africa
Libya,5.525,1.044,1.303,0.673,0.416,0.133,0.152,Africa
Liechtenstein,,,,,,,,Europe
Lithuania,6.149,1.238,1.515,0.818,0.291,0.043,0.042,Europe
Luxembourg,7.090,1.609,1.479,1.012,0.526,0.194,0.316,Europe
Madagascar,3.933,0.274,0.916,0.555,0.148,0.169,0.041,Africa
Malawi,3.410,0.191,0.560,0.495,0.443,0.218,0.089,Africa
Malaysia,5.339,1.221,1.171,0.828,0.508,0.260,0.024,Asia
Maldives,,,,,,,,Asia
Mali,4.390,0.385,1.105,0.308,0.327,0.153,0.052,Africa
Malta,6.726,1.300,1.520,0.999,0.564,0.375,0.151,Europe
Mamoudzou,,,,,,,,Africa
Marshall Islands,,,,,,,,Oceania
Mauritania,4.490,0.570,1.167,0.489,0.066,0.106,0.088,Africa
Mauritius,5.888,1.120,1.402,0.798,0.498,0.215,0.060,Africa
Mexico,6.595,1.070,1.323,0.861,0.433,0.074,0.073,North America
Moldova,5.529,0.685,1.328,0.739,0.245,0.181,0.000,Europe
Monaco,,,,,,,,Europe
Mongolia,5.285,0.948,1.531,0.667,0.317,0.235,0.038,Asia
Montenegro,5.523,1.051,1.361,0.871,0.197,0.142,0.080,Europe
Morocco,5.208,0.801,0.782,0.782,0.418,0.036,0.076,Africa
Mozambique,4.466,0.204,0.986,0.390,0.494,0.197,0.138,Africa
Myanmar,4.360,0.710,1.181,0.555,0.525,0.566,0.172,Asia
Namibia,4.639,0.879,1.313,0.477,0.401,0.070,0.056,Africa
Nauru,,,,,,,,Oceania
Nepal,4.913,0.446,1.226,0.677,0.439,0.285,0.089,Asia
Netherlands,7.488,1.396,1.522,0.999,0.557,0.322,0.298,Europe
New Zealand,7.307,1.303,1.557,1.026,0.585,0.330,0.380,Oceania
Nicaragua,6.105,0.694,1.325,0.835,0.435,0.200,0.127,North America
Niger,4.628,0.138,0.774,0.366,0.318,0.188,0.102,Africa
Nigeria,5.265,0.696,1.111,0.245,0.426,0.215,0.041,Africa
Niue,,,,,,,,Oceania
North Korea,,,,,,,,Asia
North Macedonia,5.274,0.983,1.294,0.838,0.345,0.185,0.034,Europe
Northern Cyprus,5.718,1.263,1.252,1.042,0.417,0.191,0.162,
Norway,7.554,1.488,1.582,1.028,0.603,0.271,0.341,Europe
Oman,,,,,,,,Asia
Pakistan,5.653,0.677,0.886,0.535,0.313,0.220,0.098,Asia
Palau,,,,,,,,Oceania
Palestinian Territories,4.696,0.657,1.247,0.672,0.225,0.103,0.066,
Panama,6.321,1.149,1.442,0.910,0.516,0.109,0.054,North America
Papua New Guinea,,,,,,,,Oceania
Paraguay,5.743,0.855,1.475,0.777,0.514,0.184,0.080,South America
Peru,5.697,0.960,1.274,0.854,0.455,0.083,0.027,South America
Philippines,5.631,0.807,1.293,0.657,0.558,0.117,0.107,Asia
Poland,6.182,1.206,1.438,0.884,0.483,0.117,0.050,Europe
Portugal,5.693,1.221,1.431,0.999,0.508,0.047,0.025,Europe
Qatar,6.374,1.684,1.313,0.871,0.555,0.220,0.167,Asia
Republic of Ireland,,,,,,,,Europe
Republic of the Congo,,,,,,,,Africa
Romania,6.070,1.162,1.232,0.825,0.462,0.083,0.005,Europe
Russia,5.648,1.183,1.452,0.726,0.334,0.082,0.031,Europe
Rwanda,3.334,0.359,0.711,0.614,0.555,0.217,0.411,Africa
Saint Kitts and Nevis,,,,,,,,North America
Saint Lucia,,,,,,,,North America
Saint Vincent and the Grenadines,,,,,,,,North America
Saint-Denis,,,,,,,,Africa
Saint-Pierre (not yet started),,,,,,,,Africa
Samoa,,,,,,,,Oceania
San Marino,,,,,,,,Europe
Santa Cruz de Tenerife,,,,,,,,Africa
Saudi Arabia,6.375,1.403,1.357,0.795,0.439,0.080,0.132,Asia
Senegal,4.681,0.450,1.134,0.571,0.292,0.153,0.072,Africa
Serbia,5.603,1.004,1.383,0.854,0.282,0.137,0.039,Europe
Seychelles,,,,,,,,Africa
Sierra Leone,4.374,0.268,0.841,0.242,0.309,0.252,0.045,Africa
Singapore,6.262,1.572,1.463,1.141,0.556,0.271,0.453,Asia
Slovakia,6.198,1.246,1.504,0.881,0.334,0.121,0.014,Europe
Slovenia,6.118,1.258,1.523,0.953,0.564,0.144,0.057,Europe
Solomon Islands,,,,,,,,Oceania
Somalia,4.668,0.000,0.698,0.268,0.559,0.243,0.270,Africa
South Africa,4.722,0.960,1.351,0.469,0.389,0.130,0.055,Africa
South Korea,5.895,1.301,1.219,1.036,0.159,0.175,0.056,Asia
South Sudan,2.853,0.306,0.575,0.295,0.010,0.202,0.091,Africa
Spain,6.354,1.286,1.484,1.062,0.362,0.153,0.079,Europe
Sri Lanka,4.366,0.949,1.265,0.831,0.470,0.244,0.047,Asia
Sudan,,,,,,,,Africa
Suriname,,,,,,,,South America
Sweden,7.343,1.387,1.487,1.009,0.574,0.267,0.373,Europe
Switzerland,7.480,1.452,1.526,1.052,0.572,0.263,0.343,Europe
Syria,3.462,0.619,0.378,0.440,0.013,0.331,0.141,Asia
São Tomé and Príncipe,,,,,,,,Africa
Taiwan,6.446,1.368,1.430,0.914,0.351,0.242,0.097,Asia
Tajikistan,5.467,0.493,1.098,0.718,0.389,0.230,0.144,Asia
Tanzania,3.231,0.476,0.885,0.499,0.417,0.276,0.147,Africa
Thailand,6.008,1.050,1.409,0.828,0.557,0.359,0.028,Asia
The Bahamas,,,,,,,,North America
The Gambia,,,,,,,,Africa
Timor-Leste,,,,,,,,Asia
Togo,4.085,0.275,0.572,0.410,0.293,0.177,0.085,Africa
Tonga,,,,,,,,Oceania
Trinidad & Tobago,6.192,1.231,1.477,0.713,0.489,0.185,0.016,
Trinidad and Tobago,,,,,,,,North America
Tunisia,4.461,0.921,1.000,0.815,0.167,0.059,0.055,Africa
Turkey,5.373,1.183,1.360,0.808,0.195,0.083,0.106,Asia
Turkmenistan,5.247,1.052,1.538,0.657,0.394,0.244,0.028,Asia
Tuvalu,,,,,,,,Oceania
Uganda,4.189,0.332,1.069,0.443,0.356,0.252,0.060,Africa
Ukraine,4.332,0.820,1.390,0.739,0.178,0.187,0.010,Europe
United Arab Emirates,6.825,1.503,1.310,0.825,0.598,0.262,0.182,Asia
United Kingdom,7.054,1.333,1.538,0.996,0.450,0.348,0.278,Europe
United States,,,,,,,,North America
United States of America,6.892,1.433,1.457,0.874,0.454,0.280,0.128,
Uruguay,6.293,1.124,1.465,0.891,0.523,0.127,0.150,South America
Uzbekistan,6.174,0.745,1.529,0.756,0.631,0.322,0.240,Asia
Vanuatu,,,,,,,,Oceania
Vatican City,,,,,,,,Europe
Venezuela,4.707,0.960,1.427,0.805,0.154,0.064,0.047,South America
Vietnam,5.175,0.741,1.346,0.851,0.543,0.147,0.073,Asia
Yemen,3.380,0.287,1.163,0.463,0.143,0.108,0.077,Asia
Zambia,4.107,0.578,1.058,0.426,0.431,0.247,0.087,Africa
Zimbabwe,3.663,0.366,1.114,0.433,0.361,0.151,0.089,Africa
